i_Model,x_Model,y_Model,i_Scene,x_Scene,y_Scene
181.000000,109.048796,142.012914,176.000000,111.000000,143.000000
182.000000,135.737247,94.726822,134.000000,137.000000,95.000000
183.000000,74.535702,93.000000,85.000000,74.000000,94.000000
184.000000,149.978199,117.021801,229.000000,154.000000,120.000000
185.000000,117.256425,112.743575,21.000000,118.000000,113.000000
186.000000,108.239490,118.239490,182.000000,109.000000,120.000000
187.000000,114.802723,69.197277,6.000000,118.000000,69.000000
188.000000,110.173738,184.173738,236.000000,116.000000,183.000000
189.000000,138.248869,110.931746,36.000000,139.000000,112.000000
190.000000,86.660592,128.504206,168.000000,85.000000,132.000000
191.000000,77.978430,91.329905,24.000000,79.000000,92.000000
192.000000,84.000000,145.500000,177.000000,86.000000,145.000000
193.000000,85.356461,76.936823,63.000000,88.000000,74.000000
194.000000,68.000000,97.272618,77.000000,68.000000,97.000000
195.000000,111.919574,98.782498,89.000000,112.000000,100.000000
196.000000,68.000000,105.285246,71.000000,69.000000,105.000000
197.000000,150.500000,97.000000,125.000000,152.000000,100.000000
198.000000,79.834347,122.165653,197.000000,81.000000,122.000000
199.000000,129.965127,96.603084,33.000000,133.000000,99.000000
200.000000,86.000000,179.692554,203.000000,87.000000,178.000000
201.000000,135.000000,88.000000,131.000000,134.000000,91.000000
202.000000,89.158323,155.910475,189.000000,93.000000,155.000000
203.000000,113.000000,80.000000,64.000000,115.000000,82.000000
204.000000,95.173501,163.826499,205.000000,96.000000,162.000000
205.000000,131.000000,160.500000,226.000000,132.000000,160.000000
206.000000,83.196366,133.000000,168.000000,85.000000,132.000000
207.000000,133.840900,122.159100,213.000000,136.000000,126.000000
208.000000,122.867126,75.968749,30.000000,126.000000,76.000000
209.000000,107.280275,159.034978,206.000000,110.000000,163.000000
210.000000,90.448194,142.637510,150.000000,92.000000,144.000000
211.000000,139.431839,156.000000,235.000000,141.000000,156.000000
212.000000,126.411095,167.967955,199.000000,122.000000,163.000000
213.000000,119.940885,142.753291,158.000000,118.000000,140.000000
214.000000,87.500000,94.000000,60.000000,89.000000,95.000000
215.000000,131.547941,169.259711,226.000000,132.000000,160.000000
216.000000,91.929603,71.590356,101.000000,92.000000,73.000000
217.000000,139.151469,137.523552,231.000000,139.000000,141.000000
218.000000,110.951607,170.858272,200.000000,111.000000,174.000000
219.000000,122.421839,110.853886,18.000000,124.000000,112.000000
220.000000,82.394697,151.769431,50.000000,86.000000,149.000000
221.000000,109.760087,146.573381,176.000000,111.000000,143.000000
222.000000,135.603106,149.061726,225.000000,135.000000,150.000000
223.000000,130.613752,111.000000,115.000000,134.000000,112.000000
224.000000,138.679806,107.744063,142.000000,139.000000,110.000000
225.000000,162.506387,98.995542,136.000000,165.000000,103.000000
226.000000,159.743071,96.762318,118.000000,159.000000,94.000000
227.000000,92.765100,99.638689,4.000000,92.000000,101.000000
228.000000,102.027120,163.238409,179.000000,107.000000,168.000000
229.000000,77.518610,109.335865,28.000000,79.000000,109.000000
230.000000,61.758568,134.193718,173.000000,72.000000,129.000000
231.000000,70.435809,146.343233,160.000000,77.000000,147.000000
232.000000,124.612634,159.050673,162.000000,123.000000,159.000000
233.000000,103.733893,87.707728,66.000000,102.000000,91.000000
234.000000,99.428261,90.628234,66.000000,102.000000,91.000000
235.000000,73.243389,100.872956,70.000000,74.000000,101.000000
236.000000,92.424440,77.000000,101.000000,92.000000,73.000000
237.000000,94.425054,74.817923,22.000000,96.000000,71.000000
238.000000,109.551602,86.344674,103.000000,110.000000,90.000000
239.000000,92.887421,112.564265,19.000000,94.000000,113.000000
240.000000,90.990481,109.132596,16.000000,92.000000,108.000000
241.000000,95.504265,89.491650,96.000000,98.000000,90.000000
242.000000,89.621434,104.278252,90.000000,90.000000,105.000000
243.000000,84.196305,95.418037,86.000000,85.000000,95.000000
244.000000,115.368369,84.795901,107.000000,117.000000,88.000000
245.000000,121.583034,85.805768,23.000000,123.000000,84.000000
246.000000,140.566710,128.738889,221.000000,142.000000,127.000000
247.000000,134.347403,124.480074,213.000000,136.000000,126.000000
248.000000,135.419589,129.970004,219.000000,137.000000,132.000000
